n,training_time
1,1.001596450805664
2,0.9243488311767578
3,1.0046958923339844
4,1.0085105895996094
5,1.009225845336914
6,0.0
7,1.0302066802978516
8,0.9961128234863281
9,0.9989738464355469
10,0.0
11,0.0
12,0.9996891021728516
13,1.0378360748291016
14,0.9934902191162109
15,0.9951591491699219
16,0.0
17,0.9715557098388672
18,0.0
19,0.9191036224365234
20,0.0
21,0.9877681732177734
22,1.0085105895996094
23,1.0111331939697266
24,1.0073184967041016
25,0.9953975677490234
26,2.0978450775146484
27,1.0037422180175781
28,1.0502338409423828
29,0.9667873382568359
30,1.9826889038085938
31,2.043485641479492
32,1.0902881622314453
33,1.0824203491210938
34,2.009868621826172
35,0.0
36,1.0080337524414062
37,0.8826255798339844
38,2.0813941955566406
39,1.9922256469726562
40,1.018524169921875
41,2.0003318786621094
42,1.0008811950683594
43,1.0704994201660156
44,1.0225772857666016
45,2.108335494995117
46,2.0186901092529297
47,2.0112991333007812
48,2.0024776458740234
49,0.9999275207519531
50,1.9981861114501953
51,1.0001659393310547
52,0.9911060333251953
53,1.0404586791992188
54,1.9440650939941406
55,0.9303092956542969
56,1.932382583618164
57,2.0110607147216797
58,1.008749008178711
59,1.9371509552001953
60,0.9620189666748047
61,1.0669231414794922
62,1.0271072387695312
63,1.051187515258789
64,0.9839534759521484
65,0.96893310546875
66,0.9846687316894531
67,2.958536148071289
68,0.9686946868896484
69,0.9891986846923828
70,0.988006591796875
71,1.0116100311279297
72,1.9752979278564453
73,1.0759830474853516
74,0.9901523590087891
75,1.8754005432128906
76,1.0662078857421875
77,0.9214878082275391
78,2.071857452392578
79,0.9946823120117188
80,0.9903907775878906
81,1.001596450805664
82,1.0514259338378906
83,1.0797977447509766
84,0.9903907775878906
85,2.0208358764648438
86,1.0008811950683594
87,0.9646415710449219
88,0.9980201721191406
89,1.0001659393310547
90,1.0082721710205078
91,1.0006427764892578
92,1.0199546813964844
93,1.0006427764892578
94,1.0149478912353516
95,2.9959678649902344
96,2.011537551879883
97,2.000093460083008
98,1.983642578125
99,1.9924640655517578
100,1.9989013671875
101,1.9991397857666016
102,2.0012855529785156
103,3.003835678100586
104,1.001119613647461
105,1.0006427764892578
106,1.0061264038085938
107,2.001523971557617
108,1.0018348693847656
109,2.0203590393066406
110,1.0106563568115234
111,2.0186901092529297
112,1.0008811950683594
113,2.505064010620117
114,2.0062923431396484
115,2.0079612731933594
116,1.0030269622802734
117,2.0024776458740234
118,1.0018348693847656
119,2.020120620727539
120,1.9924640655517578
121,2.9845237731933594
122,3.000974655151367
123,2.927541732788086
124,1.0046958923339844
125,1.0020732879638672
126,2.0008087158203125
127,1.0008811950683594
128,1.9180774688720703
129,2.9404163360595703
130,3.011465072631836
131,2.0618438720703125
132,3.011941909790039
133,1.9459724426269531
134,0.9965896606445312
135,3.981351852416992
136,2.0384788513183594
137,1.0170936584472656
138,2.032756805419922
139,2.033710479736328
140,2.967357635498047
141,1.9314289093017578
142,1.0249614715576172
143,1.9443035125732422
144,2.007722854614258
145,1.9979476928710938
146,1.9326210021972656
147,3.519296646118164
148,3.9908885955810547
149,0.9961128234863281
150,1.9881725311279297
151,3.0722618103027344
152,3.9272308349609375
153,1.9927024841308594
154,1.9452571868896484
155,2.0563602447509766
156,1.9555091857910156
157,1.058816909790039
158,1.0218620300292969
159,2.0029544830322266
160,1.9931793212890625
161,1.9321441650390625
162,2.0110607147216797
163,2.9783248901367188
164,3.0019283294677734
165,1.001119613647461
166,3.0007362365722656
167,2.001523971557617
168,1.0001659393310547
169,2.0003318786621094
170,2.9981136322021484
171,1.992940902709961
172,4.014492034912109
173,3.0007362365722656
174,1.514434814453125
175,3.0336380004882812
176,3.988504409790039
177,2.0012855529785156
178,1.0013580322265625
179,1.9989013671875
180,3.000020980834961
181,1.9996166229248047
182,3.000497817993164
183,1.966238021850586
184,2.000093460083008
185,2.0165443420410156
186,2.9969215393066406
187,2.0020008087158203
188,3.000974655151367
189,1.9707679748535156
190,2.001047134399414
191,1.0001659393310547
192,0.9887218475341797
193,2.98309326171875
194,2.0003318786621094
195,2.9883384704589844
196,3.0012130737304688
197,3.0002593994140625
198,3.0012130737304688
199,2.0105838775634766
200,3.977537155151367
201,2.0020008087158203
202,2.998828887939453
203,2.999544143676758
204,2.9714107513427734
205,3.9997100830078125
206,2.0008087158203125
207,2.003192901611328
208,4.00233268737793
209,3.997325897216797
210,2.0036697387695312
211,1.9898414611816406
212,2.002239227294922
213,3.015756607055664
214,2.000093460083008
215,3.0002593994140625
216,4.014730453491211
217,3.0100345611572266
218,3.025054931640625
219,3.0236244201660156
220,3.9861202239990234
221,3.0012130737304688
222,2.001523971557617
223,2.002239227294922
224,3.9861202239990234
225,3.000020980834961
226,3.027200698852539
227,2.079486846923828
228,1.9838809967041016
229,3.075838088989258
230,2.0647048950195312
231,3.9043426513671875
232,2.000570297241211
233,3.9992332458496094
234,4.002094268798828
235,3.5161972045898438
236,4.005908966064453
237,3.1197071075439453
238,2.0012855529785156
239,3.999948501586914
240,1.9879341125488281
241,3.011465072631836
242,3.019571304321289
243,3.0095577239990234
244,2.000570297241211
245,3.997802734375
246,3.001689910888672
247,3.9997100830078125
248,7.014751434326172
249,4.001140594482422
250,4.00090217590332
251,3.499269485473633
252,3.0019283294677734
253,4.511117935180664
254,3.988504409790039
255,5.0029754638671875
256,2.9692649841308594
257,4.003047943115234
258,3.963470458984375
259,2.984762191772461
260,4.478693008422852
261,3.0002593994140625
262,3.9992332458496094
263,4.000663757324219
264,3.000974655151367
265,4.001140594482422
266,3.0052661895751953
267,5.001544952392578
268,3.0002593994140625
269,2.002239227294922
270,4.000425338745117
271,3.9806365966796875
272,4.740715026855469
273,4.000663757324219
274,4.014015197753906
275,3.5071372985839844
276,3.0014514923095703
277,4.03141975402832
278,3.9997100830078125
279,3.000020980834961
280,2.9997825622558594
281,2.9973983764648438
282,3.009319305419922
283,4.10008430480957
284,3.937959671020508
285,3.9420127868652344
286,5.002021789550781
287,4.072427749633789
288,4.007101058959961
289,4.04047966003418
290,4.997968673706055
291,2.989530563354492
292,3.9403438568115234
293,3.080606460571289
294,4.0264129638671875
295,2.9823780059814453
296,4.999637603759766
297,3.0057430267333984
298,6.000995635986328
299,3.000974655151367
300,5.004405975341797
301,3.000974655151367
302,3.0002593994140625
303,4.000186920166016
304,5.000829696655273
305,4.507541656494141
306,4.005908966064453
307,5.002021789550781
308,4.001379013061523
309,8.00180435180664
310,8.031606674194336
311,8.12840461730957
312,5.330562591552734
313,2.934694290161133
314,4.0740966796875
315,3.981351852416992
316,4.976749420166016
317,3.986358642578125
318,6.019353866577148
319,4.525661468505859
320,3.006458282470703
321,5.001068115234375
322,4.001855850219727
323,5.199670791625977
324,4.530668258666992
325,6.004571914672852
326,6.664037704467773
327,5.045175552368164
328,3.9730072021484375
329,3.007650375366211
330,3.9992332458496094
331,4.62651252746582
332,3.966808319091797
333,4.006147384643555
334,4.999637603759766
335,4.0416717529296875
336,5.999565124511719
337,5.976676940917969
338,4.991769790649414
339,4.538774490356445
340,8.630037307739258
341,6.081581115722656
342,5.059242248535156
343,4.984140396118164
344,6.094694137573242
345,5.030632019042969
346,4.9991607666015625
347,6.935358047485352
348,10.528802871704102
349,5.615234375
350,6.694793701171875
351,4.071712493896484
352,5.573272705078125
353,6.697416305541992
354,7.449626922607422
355,3.948211669921875
356,4.590511322021484
357,5.884647369384766
358,6.667852401733398
359,6.603240966796875
360,4.907846450805664
361,6.003379821777344
362,5.003452301025391
363,4.004001617431641
364,5.526542663574219
365,3.643512725830078
366,4.002809524536133
367,3.997802734375
368,9.236574172973633
369,5.002498626708984
370,5.514860153198242
371,5.001068115234375
372,3.498554229736328
373,6.308555603027344
374,4.69970703125
375,5.584001541137695
376,6.001472473144531
377,5.005359649658203
378,7.54237174987793
379,7.506370544433594
380,4.998922348022461
381,4.514217376708984
382,3.999948501586914
383,7.53021240234375
384,5.52058219909668
385,6.458282470703125
386,5.568504333496094
387,4.065513610839844
388,6.023883819580078
389,4.509210586547852
390,4.9381256103515625
391,5.034208297729492
392,5.543231964111328
393,6.595134735107422
394,6.560802459716797
395,5.503416061401367
396,6.536960601806641
397,6.617546081542969
398,5.5999755859375
399,5.618572235107422
400,4.67991828918457
401,4.524469375610352
402,6.495475769042969
403,5.001068115234375
404,7.5359344482421875
405,4.002809524536133
406,5.621910095214844
407,10.537385940551758
408,5.003213882446289
409,7.51185417175293
410,5.980491638183594
411,3.9975643157958984
412,6.547451019287109
413,6.562232971191406
414,6.021976470947266
415,5.992889404296875
416,6.008148193359375
417,5.511760711669922
418,8.710622787475586
419,6.533622741699219
420,10.555267333984375
421,8.516788482666016
422,6.522893905639648
423,6.003379821777344
424,6.515026092529297
425,5.522966384887695
426,6.61778450012207
427,9.537458419799805
428,14.05477523803711
429,7.508277893066406
430,5.00035285949707
431,10.531425476074219
432,5.931615829467773
433,5.008220672607422
434,6.077766418457031
435,6.755590438842773
436,6.012439727783203
437,6.635427474975586
438,5.738496780395508
439,4.636049270629883
440,5.492210388183594
441,6.081342697143555
442,6.073713302612305
443,4.6176910400390625
444,5.523443222045898
445,6.536245346069336
446,6.513357162475586
447,5.999326705932617
448,10.590791702270508
449,9.538650512695312
450,6.571531295776367
451,7.024526596069336
452,6.504535675048828
453,6.579875946044922
454,8.53109359741211
455,6.671428680419922
456,9.620904922485352
457,6.043672561645508
458,7.06791877746582
459,7.629871368408203
460,8.678674697875977
461,12.248992919921875
462,7.389068603515625
463,9.500741958618164
464,6.0405731201171875
465,7.009267807006836
466,7.513999938964844
467,7.516384124755859
468,5.000829696655273
469,11.598825454711914
470,7.080554962158203
471,4.023551940917969
472,5.023479461669922
473,9.893417358398438
474,6.079912185668945
475,6.010532379150391
476,7.871389389038086
477,6.054162979125977
478,5.566120147705078
479,7.573843002319336
480,8.013010025024414
481,7.294416427612305
482,4.08625602722168
483,6.562232971191406
484,7.51042366027832
485,4.011631011962891
486,7.542133331298828
487,5.905866622924805
488,5.000114440917969
489,6.003856658935547
490,4.987478256225586
491,4.98509407043457
492,6.131887435913086
493,8.515357971191406
494,5.99980354309082
495,6.633758544921875
496,7.51805305480957
497,6.5135955810546875
498,5.179882049560547
499,6.520748138427734
500,5.641698837280273
501,7.5931549072265625
502,3.986835479736328
503,7.057905197143555
504,5.568265914916992
505,6.5326690673828125
506,5.516529083251953
507,5.522012710571289
508,6.554841995239258
509,4.55164909362793
510,6.995916366577148
511,8.282899856567383
512,5.915403366088867
513,5.596637725830078
514,5.014896392822266
515,5.603313446044922
516,6.680727005004883
517,7.648944854736328
518,5.994558334350586
519,6.491184234619141
520,5.703449249267578
521,7.711887359619141
522,5.579710006713867
523,6.011724472045898
524,5.538225173950195
525,8.312463760375977
526,6.557464599609375
527,6.586551666259766
528,5.634546279907227
529,7.661104202270508
530,6.658792495727539
531,7.620573043823242
532,5.992889404296875
533,7.068634033203125
534,6.613492965698242
535,6.242275238037109
536,6.510019302368164
537,6.510734558105469
538,6.608009338378906
539,7.515192031860352
540,5.995512008666992
541,7.565736770629883
542,7.535457611083984
543,6.605386734008789
544,5.576372146606445
545,6.551980972290039
546,5.56182861328125
547,8.653402328491211
548,6.773471832275391
549,7.632970809936523
550,5.003690719604492
551,7.626771926879883
552,6.9217681884765625
553,6.001710891723633
554,6.340742111206055
555,7.652044296264648
556,6.001710891723633
557,7.080554962158203
558,6.519794464111328
559,8.20302963256836
560,6.008625030517578
561,7.0171356201171875
562,7.06934928894043
563,6.585121154785156
564,7.5130462646484375
565,6.548643112182617
566,6.5135955810546875
567,7.03120231628418
568,6.972312927246094
569,7.51805305480957
570,6.5059661865234375
571,7.534265518188477
572,6.964445114135742
573,7.649421691894531
574,7.582426071166992
575,7.717609405517578
576,6.460666656494141
577,7.585048675537109
578,6.4067840576171875
579,6.524801254272461
580,5.925893783569336
581,5.993843078613281
582,6.521940231323242
583,9.27114486694336
584,10.941267013549805
585,8.692502975463867
586,11.631965637207031
587,6.3610076904296875
588,7.555961608886719
589,6.514310836791992
590,7.513999938964844
591,8.493900299072266
592,5.003690719604492
593,5.634784698486328
594,6.750822067260742
595,7.54547119140625
596,7.555961608886719
597,8.034467697143555
598,8.201360702514648
599,6.810426712036133
600,6.348848342895508
601,8.006095886230469
602,8.590459823608398
603,8.09621810913086
604,5.650997161865234
605,12.518882751464844
606,6.502389907836914
607,5.698204040527344
608,6.0024261474609375
609,6.57343864440918
610,6.705045700073242
611,8.610725402832031
612,5.920648574829102
613,8.508443832397461
614,10.532855987548828
615,7.596254348754883
616,5.608558654785156
617,5.534887313842773
618,5.637168884277344
619,7.011651992797852
620,8.200883865356445
621,8.571386337280273
622,6.606817245483398
623,6.601095199584961
624,7.965564727783203
625,6.994485855102539
626,7.598876953125
627,8.049488067626953
628,7.522106170654297
629,7.003068923950195
630,7.516384124755859
631,7.606029510498047
632,6.054162979125977
633,7.033586502075195
634,9.554386138916016
635,7.509946823120117
636,5.003213882446289
637,7.714033126831055
638,7.509469985961914
639,6.040811538696289
640,7.503747940063477
641,6.760120391845703
642,8.072853088378906
643,6.50477409362793
644,7.291555404663086
645,10.508298873901367
646,10.248422622680664
647,6.062030792236328
648,8.20469856262207
649,8.05044174194336
650,7.610559463500977
651,6.702661514282227
652,6.287097930908203
653,8.516311645507812
654,6.647348403930664
655,7.2002410888671875
656,8.031606674194336
657,8.47935676574707
658,8.596658706665039
659,6.083250045776367
660,6.644964218139648
661,7.678985595703125
662,6.5212249755859375
663,7.637262344360352
664,6.470203399658203
665,5.510568618774414
666,7.063627243041992
667,6.65736198425293
668,7.658958435058594
669,8.145332336425781
670,10.167121887207031
671,8.693933486938477
672,7.6770782470703125
673,7.000207901000977
674,8.508443832397461
675,7.0438385009765625
676,7.067441940307617
677,7.987737655639648
678,7.547616958618164
679,6.764888763427734
680,7.498502731323242
681,8.578777313232422
682,9.579896926879883
683,6.5898895263671875
684,7.340431213378906
685,6.507635116577148
686,7.504701614379883
687,7.664680480957031
688,7.152080535888672
689,8.594036102294922
690,8.738994598388672
691,7.506847381591797
692,7.532835006713867
693,11.623859405517578
694,6.5441131591796875
695,8.074045181274414
696,6.639719009399414
697,6.004095077514648
698,7.51948356628418
699,8.559703826904297
700,8.700370788574219
701,7.547140121459961
702,8.708477020263672
703,7.003307342529297
704,7.703304290771484
705,8.573055267333984
706,8.00776481628418
707,9.61756706237793
708,16.098976135253906
709,9.512662887573242
710,8.013486862182617
711,7.595300674438477
712,8.51893424987793
713,9.528636932373047
714,11.063814163208008
715,7.99250602722168
716,8.664131164550781
717,6.935358047485352
718,8.090972900390625
719,12.584209442138672
720,6.99305534362793
721,7.666587829589844
722,6.999492645263672
723,12.531280517578125
724,7.507085800170898
725,7.55000114440918
726,7.327079772949219
727,7.509469985961914
728,9.050846099853516
729,7.539510726928711
730,8.527040481567383
731,11.141538619995117
732,6.997585296630859
733,9.564638137817383
734,10.563850402832031
735,8.53729248046875
736,13.1378173828125
737,7.64775276184082
738,7.926702499389648
739,10.513544082641602
740,6.660938262939453
741,8.60142707824707
742,10.532855987548828
743,7.602453231811523
744,11.585474014282227
745,12.984037399291992
746,9.292364120483398
747,8.616924285888672
748,7.63702392578125
749,8.293390274047852
750,9.565114974975586
751,7.557392120361328
752,8.67462158203125
753,11.656045913696289
754,12.583255767822266
755,9.659290313720703
756,8.281230926513672
757,7.584810256958008
758,7.3184967041015625
759,16.00956916809082
760,9.61160659790039
761,10.545015335083008
762,8.280038833618164
763,8.644819259643555
764,9.680032730102539
765,8.58926773071289
766,7.56072998046875
767,7.636547088623047
768,16.36338233947754
769,14.151573181152344
770,9.682178497314453
771,16.622304916381836
772,12.458324432373047
773,9.544134140014648
774,14.835119247436523
775,40.0700569152832
776,30.56931495666504
777,23.400068283081055
778,16.481876373291016
779,10.683059692382812
780,10.623455047607422
781,13.116598129272461
782,9.57489013671875
783,17.986774444580078
784,18.210411071777344
785,13.333320617675781
786,9.594440460205078
787,17.18449592590332
788,9.772062301635742
789,11.444807052612305
790,19.23203468322754
791,11.581897735595703
792,8.678197860717773
793,16.079187393188477
794,12.69841194152832
795,9.593009948730469
796,11.808395385742188
797,9.685993194580078
798,12.293815612792969
799,9.686708450317383
800,18.07093620300293
801,13.036251068115234
802,18.126726150512695
803,12.500524520874023
804,9.507894515991211
805,9.560823440551758
806,8.287429809570312
807,9.519577026367188
808,10.515689849853516
809,11.09004020690918
810,9.536266326904297
811,8.52203369140625
812,11.720657348632812
813,11.735677719116211
814,7.628917694091797
815,26.58700942993164
816,11.239290237426758
817,8.091211318969727
818,10.51020622253418
819,15.195131301879883
820,9.021282196044922
821,10.475635528564453
822,12.088298797607422
823,11.115789413452148
824,10.65373420715332
825,11.607646942138672
826,8.636236190795898
827,7.7800750732421875
828,9.577751159667969
829,13.71145248413086
830,13.60774040222168
831,11.546611785888672
832,14.522075653076172
833,9.582281112670898
834,14.351844787597656
835,11.539697647094727
836,7.964134216308594
837,18.834352493286133
838,11.661291122436523
839,9.439229965209961
840,15.318870544433594
841,10.338068008422852
842,12.668848037719727
843,16.414165496826172
844,10.593175888061523
845,9.636402130126953
846,9.690523147583008
847,9.612560272216797
848,12.069940567016602
849,12.701988220214844
850,10.241031646728516
851,10.657310485839844
852,18.27549934387207
853,23.708820343017578
854,8.94308090209961
855,9.548664093017578
856,9.577512741088867
857,14.207124710083008
858,10.619163513183594
859,13.479232788085938
860,8.93712043762207
861,10.460376739501953
862,15.125513076782227
863,8.677005767822266
864,12.428998947143555
865,8.571386337280273
866,10.646820068359375
867,15.983343124389648
868,10.570764541625977
869,12.972831726074219
870,18.23902130126953
871,12.247800827026367
872,12.413978576660156
